Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_Push,C318884
"C1, C10, C2, C3, C6",402,5,1u,C52923
"C11, C12",402,2,22p,C1555
"C13, C14, C15, C16, C4, C7, C8, C9",402,8,100n,C1525
C5,402,1,10u,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D32, D4, D5, D6, D7, D8, D9",SOT-23,17,BAV70,C181110
F1,1206,1,Fuse_Small,C69688
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R2, R3, R4, R5",402,5,5.1k,C25905
"R6, R9",402,2,1k,C11702
"R7, R8",402,2,27,C138021
U1,SOT-23,1,XC6206PxxxMR,C347376
U2,SOT-23-6-routable,1,SRV05-4,C136137
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
