Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,192.0875,-65.88125,0.0,bottom
C1,142.478125,-48.89375,180.0,bottom
C10,165.41375,-63.18125,180.0,bottom
C11,140.75317,-77.783046,135.0,bottom
C12,136.838964,-77.851357,225.0,bottom
C13,136.128125,-72.628125,315.0,bottom
C14,147.6375,-72.309375,135.0,bottom
C15,149.225,-70.721875,315.0,bottom
C16,136.278754,-74.066417,315.0,bottom
C2,141.370625,-54.45,180.0,bottom
C3,145.653125,-60.403125,270.0,bottom
C4,150.8125,-64.76875,180.0,bottom
C5,143.271875,-57.96579,0.0,bottom
C6,142.875,-61.59375,0.0,bottom
C7,139.2625,-66.081415,0.0,bottom
C8,145.653125,-62.3875,90.0,bottom
C9,149.4625,-63.081415,135.0,bottom
D1,124.989997,-44.868915,0.0,bottom
D10,101.74375,-81.59375,0.0,bottom
D11,144.4625,-86.99375,0.0,bottom
D12,187.2,-81.431415,0.0,bottom
D13,197.0625,-81.481415,180.0,bottom
D14,127.396875,-90.16875,0.0,bottom
D15,161.528125,-90.16875,180.0,bottom
D16,123.175,-90.090625,0.0,bottom
D2,91.678125,-48.41875,0.0,bottom
D3,163.5125,-44.868915,180.0,bottom
D32,91.678125,-44.846875,0.0,bottom
D4,197.000629,-43.507042,180.0,bottom
D5,101.996875,-47.250165,0.0,bottom
D6,163.5125,-48.837665,180.0,bottom
D7,175.275,-48.200165,180.0,bottom
D8,197.000629,-47.078917,180.0,bottom
D9,91.93125,-81.359375,0.0,bottom
F1,140.49375,-38.1,270.0,bottom
J1,144.4625,-30.1625,180.0,bottom
MX1,96.8375,-36.1407,0.0,top
MX10,192.0875,-55.190699,0.0,top
MX11,58.7375,-59.0007,0.0,top
MX12,77.7875,-59.0007,0.0,top
MX13,115.8875,-59.0007,0.0,top
MX14,134.9375,-59.0007,0.0,top
MX15,153.9875,-59.0007,0.0,top
MX16,173.0375,-59.0007,0.0,top
MX17,211.1375,-59.0007,0.0,top
MX18,230.1875,-59.0007,0.0,top
MX19,96.8375,-74.240699,0.0,top
MX2,192.0875,-36.1407,0.0,top
MX20,192.0875,-74.240699,0.0,top
MX21,58.7375,-78.0507,0.0,top
MX22,77.7875,-78.0507,0.0,top
MX23,115.8875,-78.0507,0.0,top
MX24,134.9375,-82.2868,180.0,top
MX25,153.9875,-82.2868,180.0,top
MX26,173.0375,-78.0507,0.0,top
MX27,211.1375,-78.0507,0.0,top
MX28,230.1875,-78.0507,0.0,top
MX29,115.8875,-101.8632,0.0,top
MX3,77.7875,-39.9507,0.0,top
MX30,144.4625,-101.8632,0.0,top
MX31,173.0375,-101.8632,0.0,top
MX32,163.5125,-101.8632,0.0,top
MX33,182.5625,-101.8632,0.0,top
MX34,106.3625,-101.8632,0.0,top
MX35,125.4125,-101.8632,0.0,top
MX4,115.8875,-39.9507,0.0,top
MX5,134.9375,-44.1868,180.0,top
MX6,153.9875,-44.1868,180.0,top
MX7,173.0375,-39.9507,0.0,top
MX8,211.1375,-39.9507,0.0,top
MX9,96.8375,-55.1907,0.0,top
R1,142.875,-37.32829,0.0,bottom
R2,146.730626,-37.317448,180.0,bottom
R3,108.346875,-67.94375,270.0,bottom
R4,186.418125,-64.040625,0.0,bottom
R5,186.418125,-65.496875,180.0,bottom
R6,186.418125,-66.935167,180.0,bottom
R7,146.446875,-55.187665,90.0,bottom
R8,145.25625,-55.187665,90.0,bottom
R9,138.109097,-73.748593,315.0,bottom
RST1,96.8375,-65.88125,0.0,bottom
U1,141.967504,-51.59375,270.0,bottom
U2,144.4625,-40.48125,180.0,bottom
U3,144.4625,-68.681415,135.0,bottom
U4,163.5125,-68.681415,0.0,bottom
Y1,138.90625,-76.2,135.0,bottom
